id,log_price,Prices,property_type,room_type,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,host_has_profile_pic,host_identity_verified,host_response_rate,host_since,instant_bookable,latitude,longitude,name,neighbourhood,number_of_reviews,review_scores_rating,zipcode,bedrooms,beds
14122244,5.003946306,149,Apartment,Entire home/apt,6,1,Real Bed,strict,TRUE,NYC,t,t,100%,1/10/17,f,40.69205728,-73.74546375,JFK LUXURIOUS APARTMENT,Jamaica,14,100,11411,3,3
19407360,4.553876892,95,Apartment,Entire home/apt,2,1,Real Bed,flexible,TRUE,LA,t,t,0%,6/20/13,f,34.10068649,-118.3642036,Retro West Hollywood Studio + Pool!,null,1,100,null,1,1
14490881,5.003946306,149,Apartment,Entire home/apt,4,1,Real Bed,strict,TRUE,NYC,t,f,100%,5/25/16,f,40.73014487,-73.85154204,Luxurious 2 bedroom Apartment in Rego Park,Forest Hills,4,100,11374,2,2
851978,5.192956851,180,Apartment,Entire home/apt,3,1,Real Bed,flexible,TRUE,LA,t,t,0%,9/26/15,f,34.05158405,-118.2429231,Sweet Hollywood Home / 1bd1bth,null,4,95,90028,1,2
4734170,4.65396035,105,Apartment,Private room,3,1,Real Bed,strict,TRUE,NYC,t,f,68%,3/6/16,f,40.75035451,-73.98082764,CENTER OF MANHATTAN! NICE COZY ROOM,Murray Hill,40,88,10016,1,2
421056,4.317488114,75,Apartment,Private room,2,1,Real Bed,strict,TRUE,NYC,t,t,67%,1/6/14,f,40.66122089,-73.94866663,"Modern Room in a Cozy, Colorful Apartment",Lefferts Garden,1,100,11225,1,1
5520582,3.828641396,46,Apartment,Private room,2,1,Real Bed,strict,TRUE,LA,t,f,83%,3/18/17,f,34.06407656,-118.3459102,Cosy private room/bathroom in Miracle Mile.,Mid-Wilshire,0,null,90036,1,1
8908966,5.220355825,185,Apartment,Entire home/apt,4,1,Real Bed,strict,TRUE,LA,t,t,100%,10/7/11,f,33.99750602,-118.4720329,Light Bright Venice Beach 2 bedroom,Venice,248,96,90291,2,3
10994968,4.48863637,89,House,Private room,1,null,Real Bed,moderate,TRUE,LA,t,t,100%,4/1/11,f,34.08633778,-118.3647783,See Hollywood! The Most Central!,West Hollywood,46,99,90046,1,1
5559765,4.356708827,78,Apartment,Entire home/apt,4,1,Real Bed,flexible,TRUE,LA,t,f,50%,10/24/16,t,34.08630857,-118.2712267,Hollywood SpAcIoUs 1 BeDrOoM w/Pool,null,1,null,90026,1,2
15705862,4.382026635,80,Apartment,Private room,2,1,Real Bed,moderate,TRUE,NYC,t,t,90%,8/7/12,t,40.65921861,-73.91351348,Intimate Isolate Oasis,Brownsville,17,96,11212,1,1
16904896,4.828313737,125,House,Private room,2,1,Real Bed,strict,TRUE,SF,t,t,100%,12/26/13,t,37.77372777,-122.4631288,Cozy Giants Room @Golden Gate Park,Richmond District,138,96,94118,1,1
4209927,3.912023005,50,Apartment,Private room,1,1,Real Bed,strict,TRUE,NYC,t,f,86%,11/19/13,f,40.71518313,-73.94520044,"Queen-bed,huge room, 15 min to union square off L",Williamsburg,11,84,11211,1,1
12232154,4.744932128,115,Apartment,Entire home/apt,2,null,Real Bed,strict,TRUE,NYC,t,t,0%,1/6/11,f,40.73131103,-73.98609197,Amazing Prewar East Village Apt,East Village,2,100,10003,1,1
4680055,4.682131227,108,Condominium,Private room,2,1,Real Bed,strict,TRUE,Boston,t,t,100%,6/16/13,t,42.33062833,-71.0531478,Private Bedroom Close To Downtown/Subway Red line,South Boston,40,96,2127,1,1
19813606,5.521460918,250,Condominium,Entire home/apt,5,2,Real Bed,strict,TRUE,Chicago,t,f,100%,7/17/16,t,41.86105699,-87.61930317,Modern condo close to parks and museums,South Loop/Printers Row,0,null,60605,2,2
18191678,4.787491743,120,Apartment,Shared room,4,1,Real Bed,moderate,TRUE,LA,t,f,0%,9/17/16,f,34.10780278,-118.3200675,Luxury Apt Complex,null,0,null,90068,1,1
12428036,4.317488114,75,Apartment,Private room,8,1,Real Bed,moderate,TRUE,LA,t,t,100%,7/13/15,t,34.05542344,-118.2752044,Spacious Room up to 8 Guests,Westlake,44,92,90057,1,7
4014942,4.997212274,148,Apartment,Entire home/apt,4,1.5,Real Bed,moderate,TRUE,LA,t,t,100%,8/24/14,f,34.10259786,-118.3567757,BEST HOLLYWOOD LOCATION!!!,Hollywood Hills,29,95,90046,2,2
11376382,5.783825182,325,Apartment,Entire home/apt,2,1,Real Bed,flexible,FALSE,LA,t,t,100%,2/13/17,t,33.97570797,-118.4495962,Amazing one bed in the marina,null,1,80,90292,1,1
15238989,5.521460918,250,Apartment,Entire home/apt,2,1,Real Bed,flexible,FALSE,NYC,t,f,100%,5/13/15,f,40.76893346,-73.95377173,Beautiful 1bd  at the heart of the UES,Upper East Side,0,null,10021,1,1
18004987,5.010635294,150,Apartment,Entire home/apt,2,1,Real Bed,moderate,TRUE,DC,t,t,0%,11/6/14,f,38.90193567,-77.05230862,1 bedroom apartment in DC,null,1,null,20037,1,1
5117069,4.007333185,55,Apartment,Private room,1,1,Real Bed,flexible,FALSE,NYC,t,f,0%,12/8/13,f,40.72716681,-73.99099987,Bedroom in Spacious East Village Apt,East Village,0,null,10003,1,1
16246049,3.555348061,35,Apartment,Private room,2,1,Real Bed,flexible,FALSE,NYC,t,f,100%,8/13/13,f,40.70631245,-73.9192194,bushwick star,Bushwick,1,null,11237,1,1
17708004,4.007333185,55,House,Private room,2,1,Real Bed,strict,TRUE,NYC,t,t,100%,2/18/16,t,40.67988952,-73.90856545,Cozy & Private Bedroom w/ Shared Bathroom,Bedford-Stuyvesant,34,88,11233,1,1
13435559,4.158883083,64,House,Private room,2,1,Real Bed,strict,FALSE,Chicago,t,t,100%,2/27/14,f,41.85104749,-87.67941891,Art studio + house in one,Pilsen,85,96,60608,1,1
17621139,4.753590191,116,Apartment,Entire home/apt,2,1,Real Bed,flexible,TRUE,NYC,t,f,0%,9/23/15,f,40.75215018,-74.00425526,Luxury Apt in Chelsea,Chelsea,0,null,10001,1,1
3530517,6.620073207,750,Apartment,Entire home/apt,6,2,Real Bed,flexible,TRUE,SF,t,t,0%,4/18/12,t,37.73079827,-122.4486087,Newly Renovated Glen Park Flat,Sunnyside,18,97,94127,3,3
13412641,4.828313737,125,Apartment,Entire home/apt,2,1,Real Bed,flexible,TRUE,LA,t,t,100%,7/29/13,f,34.15649092,-118.4565176,nice cozy apartment in sherman oaks,Sherman Oaks,0,null,91403,1,1
17078757,4.779123493,119,Apartment,Private room,2,1,Real Bed,flexible,TRUE,NYC,t,t,100%,8/8/12,f,40.71729548,-73.96072628,PR in huge 2bed Loft! L train&ferry B,Williamsburg,3,100,11249,1,1
6443678,4.744932128,115,Apartment,Entire home/apt,5,1,Real Bed,strict,TRUE,NYC,t,f,0%,5/12/15,f,40.81286201,-73.94120417,Sunny Studio in Doorman Building,Harlem,1,100,10037,0,2
8926164,4.682131227,108,Apartment,Entire home/apt,2,1,Real Bed,strict,TRUE,NYC,t,t,100%,3/2/13,f,40.73411496,-73.99787332,Stylish 1br apt west village,Greenwich Village,31,94,10011,1,1
17556957,4.94875989,141,Apartment,Entire home/apt,2,1,Real Bed,strict,TRUE,NYC,t,t,71%,6/17/13,f,40.73961191,-73.9997621,~Cute 1 Bedroom in Chelsea West 15th St NYC~,Chelsea,2,80,10011,1,1
2503128,3.688879454,40,Apartment,Private room,2,1,Real Bed,strict,TRUE,NYC,t,f,92%,4/18/13,f,40.83535389,-73.9433389,Bright Room in 3 Bedroom apt.,Washington Heights,9,100,10032,3,1
9471893,5.857933154,350,House,Entire home/apt,4,1,Real Bed,strict,TRUE,LA,t,f,100%,6/6/16,f,34.00181463,-118.4519074,Quintessential Venice Beach Bungalow,Venice,3,93,90291,2,2
4274462,4.828313737,125,Apartment,Entire home/apt,6,1,Real Bed,strict,TRUE,Boston,t,t,100%,1/25/15,f,42.33600726,-71.05291817,**NEW*Downtown/Convention/Subway/Beach C130,South Boston,5,100,2127,2,4
1948096,4.382026635,80,Apartment,Private room,2,1,Real Bed,flexible,FALSE,LA,t,t,0%,5/3/15,f,34.12973623,-118.145861,"Very Clean,Very Quiet Neighborhood,",Pasadena,0,null,91106,1,1
11712092,6.907755279,1000,House,Entire home/apt,9,2.5,Real Bed,flexible,FALSE,SF,t,t,0%,9/8/14,f,37.75052788,-122.4029728,Superbowl home in Potrero Hill,Potrero Hill,0,null,94107,4,4
20918988,6.214608098,500,House,Private room,2,1.5,Real Bed,flexible,FALSE,DC,t,f,0%,8/29/15,f,38.93376169,-76.97799439,peaceful room near CUA Shrine,Brookland,0,null,20018,1,1
5806687,4.700480366,110,Apartment,Entire home/apt,1,1,Real Bed,flexible,FALSE,NYC,t,t,0%,4/6/14,f,40.73942192,-73.99628925,Studio apartment Chelsea NYC,Chelsea,0,null,10011,0,1
16474211,4.49980967,90,Apartment,Entire home/apt,3,1,Real Bed,moderate,TRUE,LA,t,t,82%,8/11/14,f,34.11314833,-118.2836444,"Very Large, Bright Los Feliz One-Bedroom Apt.",Los Feliz,1,100,90027,1,1
15187281,5.517452896,249,Apartment,Entire home/apt,5,1,Real Bed,flexible,TRUE,NYC,t,f,100%,9/22/17,t,40.74942941,-73.99834523,Big Two Bedroom Apartment near subway!,Chelsea,0,null,10011,2,3
20269518,4.691347882,109,Apartment,Entire home/apt,3,1,Real Bed,moderate,TRUE,LA,t,t,100%,11/27/16,f,34.163804,-118.3760293,Escape in the City,null,1,100,91601,1,1
19247305,4.779123493,119,Apartment,Entire home/apt,6,2,Real Bed,strict,TRUE,LA,t,t,100%,12/6/14,t,34.10084366,-118.3133146,HOLLYWOOD SIGN VIEW LUXURY SUITE 2BR/2BTH/FREE PRK,Hollywood,30,89,90028,2,2
11095719,4.49980967,90,Apartment,Entire home/apt,2,1,Real Bed,flexible,TRUE,LA,t,t,100%,3/10/14,f,34.10478507,-118.3041888,Quaint Studio Apartment Near Hollywood,Hollywood,4,100,90027,0,1
4285537,4.779123493,119,House,Private room,2,1,Real Bed,flexible,TRUE,DC,t,t,100%,10/17/14,f,38.91420438,-77.02530769,The Loft,U Street Corridor,6,100,20001,1,1
14668858,5.010635294,150,Apartment,Entire home/apt,2,1,Real Bed,moderate,FALSE,NYC,t,f,0%,1/20/16,f,40.75990076,-73.96262541,Live like a local (chic pre-war walk-up building),Midtown East,0,null,10022,1,1
7822736,4.605170186,100,Apartment,Entire home/apt,2,1,Real Bed,flexible,TRUE,LA,t,f,0%,3/13/10,f,34.16778109,-118.2821212,Cool Pitstop- Great for business travelers - QUIET,Glendale,0,null,91201,1,1
15990686,3.80666249,45,Apartment,Private room,2,1,Futon,strict,TRUE,NYC,t,t,80%,12/19/14,f,40.65262788,-73.95560803,"Close to the Subway, Super Quiet",Flatbush,19,87,11226,1,1
19135811,5.010635294,150,House,Private room,2,1,Real Bed,flexible,FALSE,LA,t,f,0%,5/2/16,f,34.07979252,-118.3459506,Sunny One bed with Private POOL,Mid-Wilshire,0,null,90036,1,1
15956956,5.164785974,175,Apartment,Entire home/apt,2,2,Real Bed,strict,TRUE,LA,t,t,100%,3/7/13,f,34.04503508,-118.2512598,URBAN DOWNTOWN LA LOFT,Downtown,25,100,90013,1,1
6924942,4.700480366,110,Apartment,Private room,2,1,Real Bed,moderate,TRUE,NYC,t,t,86%,3/22/14,f,40.68086394,-73.97752826,2 Private Rooms In Great Area Near Trains,Park Slope,6,100,11217,2,2
6972777,3.80666249,45,House,Private room,1,1,Real Bed,flexible,TRUE,LA,t,t,100%,11/29/13,f,34.14714094,-118.0211027,Priv Room boarding Monrovia/Arcadia,Arcadia,5,80,91016,1,1
14253838,4.382026635,80,Loft,Private room,2,1,Real Bed,moderate,FALSE,NYC,t,t,0%,3/26/15,f,40.71374668,-73.96311552,"1 bedroom, large williamsburg loft",Williamsburg,0,null,11249,1,1
20738762,5.247024072,190,Apartment,Entire home/apt,6,1,Real Bed,flexible,TRUE,NYC,t,f,0%,7/21/15,f,40.81910974,-73.95670408,"Large, Spacious 2 BR in Manhattan",Harlem,0,null,10031,2,2
16221430,5.857933154,350,Apartment,Entire home/apt,3,1,Real Bed,flexible,TRUE,NYC,t,t,100%,8/9/12,f,40.73321323,-74.00242068,"Luxurious, bright West Village 1BR with Roofdeck",West Village,3,100,10014,1,1
13398011,4.574710979,97,Loft,Entire home/apt,6,1,Real Bed,strict,TRUE,NYC,t,t,89%,3/8/12,t,40.7082729,-73.92263996,Eclectic Loft 20 min-> Union Sq! ,Bushwick,22,96,11237,1,6
18472310,4.094344562,60,Apartment,Private room,2,1,Real Bed,moderate,TRUE,NYC,t,t,0%,8/21/14,f,40.7512043,-73.94019457,Private room 5 min from manhattan!,Astoria,3,80,11101,1,1
18524434,5.010635294,150,Apartment,Private room,1,1,Real Bed,flexible,FALSE,SF,t,f,100%,7/31/12,f,37.74345962,-122.4235098,solo Mission get away,Noe Valley,1,100,94110,1,1
19225024,4.859812404,129,House,Private room,4,1,Real Bed,strict,TRUE,SF,t,t,100%,11/12/13,t,37.7219829,-122.4075767,Private room with attached private bathroom,Portola,31,93,94134,1,2
18840866,5.087596335,162,Apartment,Entire home/apt,7,2,Real Bed,strict,TRUE,LA,t,t,100%,6/29/16,t,34.18104334,-118.3045588,Huge 2BD/2 BATH. Apt. fully furnished in Burbank,Burbank,6,84,91501,2,3
2586472,5.010635294,150,Apartment,Entire home/apt,2,1,Real Bed,flexible,FALSE,NYC,t,t,0%,5/18/12,f,40.78789198,-73.95056974,UES Modern boutique building,East Harlem,0,null,10029,1,1
20761244,3.871201011,48,Condominium,Private room,4,1,Real Bed,flexible,TRUE,LA,t,t,100%,1/5/17,t,33.9802979,-118.3865229,COZY High Ceiling MasterBedroom !,null,10,92,90230,1,2
3976798,5.560681631,260,House,Entire home/apt,4,2.5,Real Bed,strict,TRUE,LA,t,t,0%,11/5/13,f,34.10762628,-118.267016,Stunning Silverlake Modern Home,Silver Lake,1,100,90039,2,2
17812291,3.80666249,45,Apartment,Private room,1,1,Futon,strict,TRUE,NYC,t,t,90%,10/12/15,f,40.69033069,-73.94216841,Artist's room in the heart of chic Bed-Sty,Bedford-Stuyvesant,4,95,11221,1,1
1168086,4.094344562,60,House,Private room,3,1,Real Bed,strict,TRUE,DC,t,f,100%,7/28/15,f,38.89403439,-76.93555537,City Life with a Suburban Feel,Hillbrook,1,80,20019,1,1
19692298,4.700480366,110,House,Entire home/apt,3,1,Real Bed,flexible,TRUE,Chicago,t,f,100%,3/15/15,f,41.92136031,-87.69941591,Charming bohemian duplex w King bed,null,18,97,60647,1,1
262343,4.700480366,110,Apartment,Entire home/apt,5,2,Real Bed,flexible,TRUE,NYC,null,null,0%,null,t,40.66148884,-73.95182313,Brooklyn 2 Bdrm Apt. w/ 2 baths,Lefferts Garden,0,null,11225,2,2
15734037,5.192956851,180,Apartment,Entire home/apt,5,1,Real Bed,flexible,TRUE,NYC,t,f,0%,1/22/15,f,40.71270422,-73.94643149,"Large, comfy 1br in Williamsburg!",Williamsburg,0,null,11211,1,2
5011392,4.248495242,70,Apartment,Entire home/apt,2,1,Real Bed,flexible,TRUE,DC,t,t,0%,4/12/12,t,38.9114032,-77.02163619,Charming studio in hip Shaw/Logan neighborhood,Shaw,0,null,20001,1,1
1830541,5.393627546,220,Condominium,Entire home/apt,3,1,Real Bed,flexible,TRUE,DC,t,f,0%,1/3/17,f,38.86353354,-76.9492231,Modern Condo in the heart of Capitol Hill,Hillcrest,0,null,20020,1,1
4576821,4.248495242,70,Apartment,Entire home/apt,1,1,Real Bed,flexible,TRUE,NYC,t,t,100%,11/25/14,f,40.66902581,-73.97707905,Charming Studio in Park Slope,Park Slope,2,100,null,0,1
1008814,4.605170186,100,House,Private room,4,1,Real Bed,moderate,TRUE,LA,t,t,100%,4/25/12,f,34.11451937,-118.2807146,Upscale Spanish Hacienda View Home,Los Feliz,15,100,90027,1,3
7226513,4.804021045,122,Apartment,Entire home/apt,2,1,Real Bed,strict,TRUE,NYC,t,t,100%,4/14/14,f,40.80358102,-73.9630543,Cozy and Sunny Studio in UWS Manhattan,Morningside Heights,2,100,10025,0,1
13858669,4.927253685,138,Loft,Private room,2,1,Real Bed,strict,TRUE,NYC,t,t,100%,3/14/15,f,40.71923229,-74.00660749,TRIBECA HISTORICAL LOFT BRIGHT ROOM,Tribeca,23,89,10013,1,1
14873270,4.17438727,65,Apartment,Entire home/apt,2,1,Real Bed,flexible,TRUE,NYC,t,t,0%,7/25/15,f,40.86464458,-73.92767905,Light Filled Studio Apartment,Washington Heights,5,80,10040,0,1
10132073,4.007333185,55,Apartment,Private room,2,1,Real Bed,strict,TRUE,LA,t,t,80%,11/7/12,t,34.15032311,-118.410222,Spacious bedroom in Studio City,Studio City,28,99,91604,1,1
314248,4.828313737,125,Apartment,Private room,2,1,Real Bed,moderate,TRUE,SF,t,f,0%,3/19/12,f,37.7753937,-122.442302,Private Room in Beautiful NOPA Home,Western Addition/NOPA,1,80,94117,1,1
2165604,3.688879454,40,Apartment,Private room,2,1,Real Bed,moderate,TRUE,NYC,t,t,100%,3/14/16,f,40.8261158,-73.93853318,COMFY BED BEHIND A CURTAIN,Harlem,7,94,10039,1,1
14900814,6.171700597,479,House,Entire home/apt,9,3,Real Bed,moderate,TRUE,LA,t,t,100%,7/3/13,t,34.07615877,-118.2671046,Stunning Victorian in Silverlake,Echo Park,32,96,90026,4,4
11593024,6.551080335,700,House,Entire home/apt,6,2,Real Bed,strict,TRUE,LA,t,t,86%,2/8/14,f,34.06179105,-118.3598091,Restored 1920's Spanish Charmer,Mid-Wilshire,18,99,90036,3,2
17497912,4.553876892,95,Apartment,Private room,1,1,Real Bed,flexible,FALSE,NYC,t,f,100%,3/23/15,t,40.74821398,-74.00180179,Fabulous Sun-kissed Room in Heart of Chelsea!,Chelsea,0,null,10011,1,1
16490513,4.007333185,55,Apartment,Private room,2,1,Real Bed,flexible,FALSE,NYC,t,t,90%,7/1/13,f,40.82199961,-73.93681076,1 large bedroom HARLEM/NYC/terrace/,Harlem,144,96,10039,1,2
15282612,5.521460918,250,Apartment,Entire home/apt,2,1,Real Bed,flexible,TRUE,NYC,t,t,0%,7/18/10,f,40.70863973,-74.00674863,Fabulous FiDi home away from home,Financial District,0,null,10038,1,1
235281,5.293304825,199,Apartment,Entire home/apt,9,2,Real Bed,strict,TRUE,Chicago,t,t,100%,12/13/15,f,41.93349614,-87.65811888,5 QUEEN BEDS / 2 FULL BATHS / SLEEPS 10! Suite 2/3,Lakeview,10,96,60614,2,5
9335247,4.094344562,60,Apartment,Private room,2,1,Real Bed,strict,TRUE,NYC,t,t,100%,7/29/14,f,40.68455995,-73.93300821,Bedroom in spacious apartment,Bedford-Stuyvesant,5,85,11233,1,1
15792652,4.17438727,65,Apartment,Private room,1,2,Real Bed,strict,TRUE,NYC,t,t,0%,12/4/14,f,40.73309609,-73.98399616,Cute East Village Room for 1,Gramercy Park,0,null,10003,1,1
4666794,3.80666249,45,Apartment,Entire home/apt,2,1,Real Bed,moderate,TRUE,LA,t,f,100%,9/6/16,t,34.10540202,-118.3210175,Cute studio in Hollywood,Hollywood,0,null,90028,0,1
20632389,4.976733742,145,Apartment,Entire home/apt,3,1,Real Bed,strict,TRUE,SF,t,t,90%,5/24/12,f,37.75738574,-122.4093681,Sun-Filled Apartment in  Mission !,Mission District,16,94,94110,1,1
20979364,3.912023005,50,House,Private room,1,1,Real Bed,strict,TRUE,DC,t,t,100%,5/21/10,f,38.89331279,-76.98006959,Spacious Private Room in D.C.,Kingman Park,3,100,20002,1,1
4588783,4.17438727,65,Apartment,Private room,2,1,Real Bed,strict,FALSE,NYC,null,null,0%,null,f,40.63473727,-74.00544769,Brooklyn travel house #2,Sunset Park,7,94,11219,1,2
8336708,4.060443011,58,House,Private room,2,1,Real Bed,flexible,FALSE,LA,t,f,50%,1/9/17,t,33.96985508,-117.8880916,米娜民宿  ～ 温馨 舒适～ 适合夫妻旅游或带孩子家庭,null,1,100,91748,1,1
16802965,4.905274778,135,Apartment,Entire home/apt,2,1,Real Bed,strict,TRUE,NYC,t,t,100%,6/24/14,f,40.78866897,-73.94275459,"COZY, Neat treat in the City!",East Harlem,38,88,10029,1,1
14228669,4.65396035,105,Apartment,Entire home/apt,2,1,Real Bed,flexible,FALSE,NYC,t,f,100%,12/2/15,t,40.80006178,-73.96480256,1 Bedroom Apartment on the Upper West Side,Upper West Side,14,89,10025,1,2
7316104,4.48863637,89,Apartment,Private room,1,1,Real Bed,strict,TRUE,NYC,t,f,100%,12/10/15,f,40.73585778,-73.95293963,Beautiful private room!,Greenpoint,7,93,11222,1,1
25827,5.634789603,280,House,Entire home/apt,8,2,Real Bed,flexible,TRUE,LA,t,f,100%,7/30/10,f,34.12408626,-118.2017603,Historic Highland Park gem!,Highland Park,3,90,90042,3,3
7827907,5.783825182,325,House,Entire home/apt,4,2,Real Bed,flexible,TRUE,SF,t,t,100%,7/14/13,f,37.75135041,-122.4373784,Victorian /Modern Interior,Noe Valley,9,100,94114,2,2
13900931,6.109247583,450,Apartment,Entire home/apt,2,1,Real Bed,flexible,FALSE,DC,t,f,0%,8/27/12,f,38.93652874,-77.0567722,"Cozy NW studio, easy access to downtown",Cleveland Park,0,null,20008,0,1
12068,4.317488114,75,Apartment,Private room,4,1,Real Bed,strict,FALSE,NYC,t,t,100%,3/27/12,f,40.68978907,-73.91661217,BROWNSTONE TWO IN BROOKLYN in NYC,Bushwick,105,89,11221,1,2
9994860,5.937536205,379,House,Entire home/apt,10,2,Real Bed,strict,TRUE,LA,t,f,100%,11/29/13,f,34.14310078,-118.3635339,WALK TO UNIVERSAL! + Pool/Hot Tub,Studio City,59,96,91604,3,4
13510326,4.094344562,60,Apartment,Entire home/apt,6,1,Real Bed,flexible,FALSE,NYC,t,t,0%,1/19/14,f,40.67939225,-73.96631357,2 Bedroom Prospect Heights Hideaway,Prospect Heights,1,100,11238,2,3
17520883,4.382026635,80,Apartment,Private room,2,1,Real Bed,moderate,TRUE,NYC,t,t,100%,11/17/13,f,40.68112064,-73.93318174,Quiet artist's brownstone near express A train,Bedford-Stuyvesant,67,99,11233,1,1
