id,cancellation_policy,host_has_profile_pic,host_identity_verified,host_response_rate,host_since
20979364,strict,t,t,100%,5/21/10
4588783,strict,null,null,0%,null
8336708,flexible,t,f,50%,1/9/17
16802965,strict,t,t,100%,6/24/14
14228669,flexible,t,f,100%,12/2/15
7316104,strict,t,f,100%,12/10/15
25827,flexible,t,f,100%,7/30/10
7827907,flexible,t,t,100%,7/14/13
13900931,flexible,t,f,0%,8/27/12
12068,strict,t,t,100%,3/27/12
9994860,strict,t,f,100%,11/29/13
13510326,flexible,t,t,0%,1/19/14
17520883,moderate,t,t,100%,11/17/13
2618997,moderate,t,t,100%,3/3/14
8813451,moderate,t,f,100%,5/28/11
8781837,flexible,t,f,100%,10/29/12
14641006,strict,t,t,100%,11/19/15
1742144,strict,t,t,100%,10/10/15
15772294,strict,t,f,100%,6/1/17
2278299,flexible,t,f,0%,12/13/13
16253186,flexible,t,f,0%,5/5/17
13615270,moderate,t,f,93%,12/4/14
11797378,strict,t,t,100%,9/5/15
1089240,strict,t,f,100%,3/14/17
11461331,flexible,t,f,100%,2/11/17
16186033,flexible,t,f,0%,9/10/15
6555586,strict,t,t,99%,5/18/16
457555,flexible,t,f,100%,4/4/15
6599827,flexible,t,f,0%,8/18/16
9057393,moderate,t,t,100%,7/24/12
20997664,moderate,t,t,0%,2/1/12
14555269,strict,t,t,100%,11/20/11
20958545,moderate,t,t,100%,11/9/15
18649822,flexible,t,t,0%,9/21/13
498052,flexible,t,f,0%,5/20/15
17860272,strict,f,f,100%,4/17/17
14916417,flexible,t,f,100%,8/11/16
10574818,flexible,t,f,0%,8/29/15
18434133,flexible,t,t,100%,8/18/15
20199218,strict,t,t,100%,6/25/12
2050565,strict,t,t,100%,4/15/12
10575738,strict,t,t,0%,2/10/14
6438568,strict,t,f,100%,5/27/15
1411264,strict,t,t,100%,2/4/15
6033550,moderate,t,t,0%,1/19/15
51073,flexible,t,f,100%,1/19/16
14568366,moderate,t,t,100%,11/30/12
8442997,flexible,t,t,100%,10/5/13
783533,moderate,t,t,100%,10/24/12
6886174,moderate,t,t,100%,9/25/13
12872822,strict,t,t,100%,8/17/10
2604409,strict,t,f,100%,8/27/17
12208881,strict,t,t,0%,3/27/15
6374167,strict,t,f,100%,6/27/17
10638806,strict,t,t,100%,2/18/14
10839763,moderate,t,t,100%,2/5/15
20409623,strict,t,f,100%,4/30/14
17703855,flexible,t,t,0%,12/22/15
11610316,moderate,t,t,100%,2/7/17
10228764,strict,t,t,100%,11/13/14
6717232,strict,t,t,100%,5/4/12
19729961,moderate,t,f,0%,7/29/10
4098271,moderate,t,t,100%,8/22/12
3630424,flexible,t,f,0%,3/14/16
16641,strict,t,t,100%,7/11/12
17575812,strict,t,t,100%,8/5/15
11588543,strict,t,f,100%,4/15/15
19211691,strict,t,t,50%,11/2/12
18058045,moderate,null,null,0%,null
3238142,flexible,t,t,0%,9/9/11
11257690,flexible,t,t,0%,8/23/15
6181322,strict,t,t,0%,8/14/13
19845637,flexible,t,f,100%,6/17/16
15942310,strict,t,t,99%,4/7/12
4884601,moderate,t,t,100%,1/11/15
7144212,strict,t,t,100%,9/22/15
11190379,strict,t,t,100%,3/15/16
20568215,flexible,t,t,0%,1/4/13
11473041,flexible,t,f,100%,7/18/11
14698794,strict,t,t,100%,6/30/11
2259813,flexible,t,t,100%,9/28/16
19981334,moderate,t,t,100%,2/21/13
20034233,moderate,t,t,100%,9/1/12
7483034,strict,t,f,100%,4/20/14
2664975,moderate,t,t,0%,5/29/14
16131645,strict,t,f,100%,5/30/16
7575345,super_strict_30,t,t,88%,7/10/09
13766593,flexible,t,t,100%,10/16/12
14964764,strict,t,t,100%,1/10/11
16122163,strict,t,t,96%,3/9/16
20054400,flexible,t,t,100%,11/24/11
2754149,strict,t,t,80%,2/5/14
11760628,flexible,t,t,70%,2/4/13
8642982,moderate,t,t,100%,6/23/13
19506327,moderate,t,f,94%,12/4/16
14783267,strict,t,t,0%,10/6/11
1048797,moderate,t,t,100%,1/22/12
7771546,flexible,t,t,100%,1/23/15
19737908,flexible,t,t,100%,1/27/15
17330389,strict,t,t,100%,8/11/15
982304,flexible,t,t,0%,4/6/16
624248,flexible,t,t,100%,10/14/13
13616847,strict,t,t,91%,9/1/12
13654448,moderate,t,t,90%,2/18/13
19474011,strict,t,t,0%,2/12/12
4258491,moderate,t,f,25%,3/25/12
4879306,moderate,t,f,100%,7/1/16
1550146,moderate,t,t,100%,8/2/13
12952172,moderate,t,f,0%,5/28/17
5940622,moderate,t,f,100%,8/6/16
21024236,moderate,t,t,96%,10/14/13
9786021,strict,t,t,100%,4/30/16
15300708,moderate,t,t,0%,2/20/12
10175033,strict,t,f,100%,10/13/16
15806332,strict,t,t,100%,2/15/14
2134400,strict,t,t,100%,8/18/14
11927300,moderate,t,f,100%,7/14/16
16431249,strict,t,t,0%,12/15/16
12265833,moderate,t,f,0%,7/30/15
11047668,flexible,t,f,0%,9/8/14
9602518,flexible,t,t,83%,2/4/16
4645486,moderate,t,t,100%,4/2/13
12757706,strict,t,f,0%,11/10/15
14559074,strict,t,t,100%,5/7/09
20706278,flexible,t,f,70%,12/29/16
18196542,flexible,t,t,0%,1/28/14
3750257,strict,t,t,100%,11/2/16
17712350,moderate,t,t,0%,4/18/14
11659296,strict,t,t,0%,12/5/10
13018127,flexible,t,t,80%,7/2/14
18687283,moderate,t,t,100%,9/14/14
5885130,strict,t,f,100%,10/26/14
8986585,flexible,t,f,0%,5/11/16
18265842,flexible,t,t,100%,3/1/14
7773967,strict,t,t,100%,11/24/15
13795421,flexible,t,t,67%,9/8/16
7955984,moderate,t,f,100%,12/24/16
18125983,strict,t,t,100%,11/29/13
20590180,moderate,t,f,100%,11/3/12
515260,moderate,t,t,0%,9/23/15
15146022,strict,t,t,90%,3/12/16
455801,moderate,t,t,100%,5/6/13
1887489,flexible,t,t,0%,6/7/14
3167974,strict,t,t,100%,2/9/15
16630498,strict,t,t,100%,1/10/15
2175930,moderate,t,t,0%,9/2/12
16412763,strict,t,t,100%,10/24/12
2259719,flexible,t,t,100%,8/1/12
20667572,strict,t,t,0%,2/15/15
17847644,moderate,t,f,100%,8/11/17
18923450,strict,t,t,25%,12/31/13
15448688,flexible,t,f,0%,1/26/16
15203727,strict,t,t,99%,9/22/16
1654170,strict,t,t,100%,6/26/15
15636707,moderate,t,t,100%,10/15/15
15982486,strict,t,t,92%,12/14/13
17462133,strict,t,t,100%,6/9/13
18078627,strict,t,f,100%,5/29/16
19242128,strict,t,t,100%,1/3/16
19247246,strict,t,f,100%,6/27/17
16243308,flexible,t,t,100%,7/9/16
20137770,moderate,t,t,70%,5/23/16
3219171,flexible,t,f,50%,1/24/17
19193758,strict,t,t,0%,8/14/15
16368734,strict,t,f,0%,7/24/16
13309996,strict,t,f,0%,12/29/16
443646,flexible,t,t,0%,1/21/13
3384323,flexible,t,t,100%,12/6/13
13811836,strict,t,t,100%,7/11/14
5250051,moderate,t,t,100%,7/19/15
9571665,strict,t,t,100%,3/23/16
14199379,strict,t,t,95%,7/22/09
20208787,strict,t,f,100%,2/25/16
9150171,moderate,t,t,100%,8/14/15
18347483,strict,t,t,100%,2/11/14
14575109,moderate,t,t,0%,11/13/13
8532763,strict,t,t,100%,7/24/15
9550807,strict,t,t,100%,2/26/16
21188095,moderate,t,t,100%,1/10/13
15805642,strict,t,t,100%,7/29/15
20757371,strict,t,t,100%,7/14/12
10517632,strict,t,t,100%,5/9/12
18108134,flexible,t,f,100%,9/14/17
11121225,strict,t,t,100%,2/28/15
20203225,moderate,t,f,100%,8/12/15
9685324,strict,t,t,100%,3/13/14
7004468,flexible,t,t,0%,2/23/14
17109866,flexible,t,t,100%,3/30/16
9794825,flexible,t,f,0%,7/23/14
5050799,strict,t,f,100%,8/23/16
17476750,flexible,t,t,88%,8/25/14
1425347,moderate,t,t,100%,12/24/15
1720583,strict,t,t,99%,7/6/15
17478124,moderate,t,t,91%,7/20/16
11150526,strict,t,t,95%,4/18/13
14199146,flexible,t,t,0%,10/6/14
16740779,moderate,t,t,100%,5/10/17
18627135,moderate,t,f,100%,10/19/16
225205,flexible,t,f,90%,10/3/15
13331968,flexible,t,t,0%,11/16/14
16416143,flexible,t,t,100%,4/25/15
12384692,strict,t,t,0%,5/31/11
16270454,flexible,t,f,100%,4/22/15
15294943,flexible,t,f,100%,4/28/17
16929145,moderate,t,f,98%,10/16/13
13923267,strict,t,f,100%,11/11/14
2091153,strict,t,f,100%,3/6/16
17889536,flexible,t,f,100%,11/20/16
1074406,strict,t,t,100%,12/3/15
6261296,strict,t,t,100%,3/19/12
18089318,strict,t,t,100%,12/20/14
4833294,strict,t,f,100%,4/1/16
131747,flexible,t,f,0%,5/2/12
16445600,moderate,t,t,100%,6/2/15
7327920,moderate,t,t,100%,12/14/12
16243107,strict,t,f,94%,9/16/16
13725947,moderate,t,f,100%,8/4/17
17880165,moderate,t,t,67%,7/29/12
17861841,moderate,t,f,80%,11/25/16
16630434,strict,t,t,0%,8/10/11
6832557,flexible,t,f,100%,11/9/16
9168586,strict,t,t,100%,2/21/15
15188419,flexible,t,t,0%,9/23/15
469810,flexible,t,t,100%,11/15/11
5029761,moderate,t,f,100%,12/27/11
2739703,moderate,t,t,100%,12/28/11
5586306,moderate,t,t,80%,9/3/15
11077219,strict,t,t,100%,8/27/12
12414037,strict,t,t,100%,12/28/14
19927986,strict,t,t,93%,5/28/13
16959968,strict,t,t,100%,3/31/15
15888389,moderate,t,t,0%,5/6/15
13150529,strict,t,f,100%,10/24/16
20773540,moderate,t,t,100%,2/8/15
18388570,flexible,t,f,0%,3/12/14
20620600,moderate,t,f,0%,4/1/16
15954428,strict,t,f,100%,5/3/15
12419766,strict,t,f,100%,2/1/16
17587897,flexible,t,t,100%,1/24/16
21051935,strict,t,f,100%,3/23/16
7632804,flexible,t,f,100%,10/9/13
18003619,moderate,t,t,100%,5/18/16
8937240,strict,t,f,80%,5/16/16
6473307,strict,t,t,99%,6/12/12
6337168,moderate,t,f,100%,5/13/17
19176565,moderate,t,t,100%,7/3/12
18314694,strict,t,t,100%,9/7/15
13896597,flexible,t,f,0%,5/17/15
3084267,flexible,t,t,0%,2/4/16
17649894,flexible,t,f,90%,5/16/16
142177,flexible,t,t,100%,12/28/15
15438016,flexible,t,f,86%,3/4/17
12981814,moderate,t,f,50%,7/15/16
13766952,strict,t,t,100%,9/27/15
9635607,moderate,t,f,100%,12/16/14
16163323,moderate,t,t,100%,4/19/16
16599054,strict,t,t,100%,4/26/16
14505006,flexible,t,t,0%,8/2/13
8152867,moderate,t,t,100%,1/10/15
16670882,strict,t,t,62%,1/5/17
21054696,flexible,t,t,88%,5/1/15
10588426,flexible,t,f,100%,8/21/15
9862763,strict,t,f,100%,4/27/14
17909363,flexible,t,f,0%,2/25/16
13559613,flexible,t,f,0%,12/22/12
9588196,moderate,t,t,100%,5/16/13
2917203,flexible,t,t,100%,9/5/15
9379983,flexible,t,f,0%,8/28/11
15639615,strict,t,t,100%,8/17/12
14205033,flexible,t,t,100%,9/1/16
12388682,flexible,t,t,100%,5/15/16
2935269,strict,t,f,100%,10/26/15
10040637,strict,t,t,100%,8/19/14
10236473,flexible,t,t,100%,3/18/12
6968737,flexible,t,t,100%,4/26/14
18393239,moderate,t,f,80%,6/14/11
16620641,flexible,t,f,29%,11/18/12
17992312,strict,t,f,100%,3/31/17
9773252,moderate,t,t,0%,4/23/13
4264211,flexible,t,t,50%,2/22/15
12544062,strict,t,t,100%,11/4/16
2526345,strict,t,t,93%,3/16/17
15247678,flexible,t,t,100%,10/31/16
2254469,moderate,t,t,100%,7/18/14
21106002,strict,t,f,100%,2/25/16
2484207,moderate,t,f,100%,7/13/13
9366080,moderate,t,f,0%,7/19/14
19839317,super_strict_60,t,t,100%,5/1/15
10074308,flexible,t,f,0%,9/26/17
16263502,strict,t,f,100%,4/12/15
14648838,strict,t,t,100%,11/25/13
15194928,moderate,t,t,0%,1/19/17
13576818,strict,t,f,0%,8/17/14
5094335,strict,t,t,100%,3/17/13
4738113,strict,t,f,0%,12/18/16
7346941,moderate,t,t,0%,7/16/15
13707814,strict,t,f,98%,8/28/16
18054278,strict,t,f,100%,4/25/14
17406413,flexible,t,t,0%,3/2/13
2197591,strict,t,t,100%,3/30/15
15343791,moderate,t,t,100%,9/9/14
16315222,flexible,t,t,100%,7/10/14
6197217,moderate,t,t,100%,12/9/14
14655794,moderate,t,t,100%,5/8/17
9260911,moderate,t,t,100%,10/27/15
19700646,moderate,t,t,0%,6/22/15
16707697,strict,t,t,100%,4/11/11
17333246,strict,t,t,100%,3/7/15
14714654,flexible,t,t,0%,2/22/13
16014394,moderate,t,t,100%,2/16/09
4099682,moderate,t,t,100%,8/3/14
7921643,flexible,t,t,0%,2/22/16
8780339,flexible,t,t,100%,7/15/14
3883401,strict,t,t,100%,12/4/11
17100621,strict,t,t,98%,3/30/15
8741446,strict,t,t,100%,2/14/14
16352907,flexible,t,f,0%,10/7/14
20724,strict,t,t,0%,7/11/12
7489397,moderate,t,f,100%,6/19/17
728875,strict,t,t,100%,7/13/15
11638339,strict,t,t,100%,3/12/15
12497789,strict,t,t,70%,8/16/13
7894983,flexible,t,f,0%,7/14/15
1602772,moderate,t,t,100%,6/16/15
15787428,flexible,t,t,100%,6/19/16
18476541,moderate,t,t,100%,4/9/10
13800319,strict,t,t,100%,10/26/14
1728853,strict,t,f,0%,12/4/15
337960,strict,t,t,0%,11/5/14
20955156,moderate,t,t,100%,5/2/16
7602426,flexible,t,f,0%,4/18/16
13327413,strict,t,t,100%,7/1/13
15289766,strict,t,t,0%,6/26/13
20432170,flexible,t,f,0%,10/8/15
14093209,flexible,t,f,0%,5/12/14
17384804,moderate,t,t,100%,1/1/13
755032,moderate,t,t,100%,9/18/12
13467391,moderate,t,t,100%,4/20/15
15115673,moderate,t,t,100%,3/4/13
8595359,strict,t,t,100%,11/6/14
7939196,strict,t,t,70%,2/6/09
5105516,moderate,t,t,0%,8/7/12
18341150,strict,t,f,100%,11/9/16
6224858,flexible,t,t,0%,11/18/16
14575962,strict,t,t,90%,11/15/13
9929790,strict,t,f,67%,11/2/16
9651070,flexible,t,t,0%,4/26/12
17191563,moderate,t,t,100%,1/5/13
14101449,strict,t,t,100%,10/25/11
1466880,moderate,t,t,100%,6/18/16
14319849,moderate,t,t,100%,2/17/17
13453710,flexible,t,f,50%,4/30/15
434792,strict,t,t,100%,2/3/14
10803794,strict,t,f,100%,6/2/16
19664338,strict,t,t,33%,7/6/12
12530488,strict,t,t,100%,11/23/09
15581030,moderate,t,t,100%,8/20/12
8990226,flexible,t,f,0%,8/28/12
10628277,flexible,t,t,0%,1/19/15
16780250,strict,t,t,89%,9/25/12
6799722,strict,t,t,100%,11/29/11
618865,flexible,t,t,0%,1/17/14
1135064,flexible,t,f,0%,5/4/16
16710236,strict,t,t,100%,4/30/17
19564384,strict,t,t,100%,4/21/15
10253271,moderate,t,f,100%,8/13/16
15644082,moderate,t,f,100%,5/26/14
14234871,strict,t,t,100%,5/7/13
5631995,strict,t,t,100%,3/31/14
4083049,moderate,t,f,81%,7/11/15
21150388,strict,t,t,0%,6/12/13
5774013,moderate,t,t,95%,5/12/15
7611169,flexible,t,f,0%,9/25/15
14994292,strict,t,f,100%,5/21/16
11679583,flexible,t,t,100%,6/10/15
10351722,strict,t,t,100%,12/5/10
245504,strict,t,t,100%,6/12/15
4619162,flexible,t,f,100%,8/11/14
2586923,flexible,t,f,0%,4/10/17
15275345,flexible,t,f,100%,9/22/16
7493312,strict,t,t,100%,9/15/12
10968594,flexible,t,f,100%,7/17/17
14949545,moderate,t,f,0%,5/20/16
11742647,flexible,t,f,100%,6/16/14
18529703,strict,t,t,100%,2/7/16
8763676,strict,t,t,0%,2/25/14
18329276,moderate,t,t,100%,6/8/16
11679582,strict,t,f,100%,8/18/16
13803420,flexible,t,t,100%,5/30/12
19905148,flexible,t,f,0%,9/12/13
14574198,moderate,t,t,100%,8/21/13
5761831,strict,t,t,90%,1/26/14
16425763,flexible,t,t,0%,3/22/16
15656661,moderate,t,t,0%,7/12/13
16822873,flexible,t,f,0%,9/27/16
3907865,strict,t,t,99%,6/11/14
1708262,strict,t,f,67%,7/28/17
14690075,flexible,t,t,63%,2/24/14
15942713,strict,t,f,100%,5/4/17
19880329,strict,t,t,100%,1/4/13
11750272,strict,t,f,67%,8/24/09
1850140,strict,t,f,100%,3/13/17
10733505,strict,t,t,81%,8/29/16
18072133,strict,t,t,100%,11/20/16
2625766,strict,t,t,100%,9/20/16
288726,flexible,t,t,0%,8/20/15
708802,moderate,t,t,0%,5/3/13
1912357,moderate,t,t,0%,4/9/13
13045369,moderate,t,t,38%,12/5/13
18136478,strict,t,f,90%,8/23/16
16856660,strict,t,t,99%,4/3/15
20973084,flexible,null,null,0%,null
14299164,moderate,t,t,60%,4/2/13
19200270,strict,t,f,0%,2/27/16
15462217,strict,t,t,100%,12/25/14
4873463,strict,t,t,100%,7/25/13
13858626,strict,t,t,0%,4/29/16
12549742,strict,t,t,100%,3/11/14
16808544,moderate,t,t,100%,5/24/15
8036967,strict,t,t,100%,4/30/14
4281241,strict,t,t,100%,6/17/16
18273151,moderate,t,t,0%,7/8/11
15772118,flexible,t,f,0%,5/20/16
17269656,flexible,t,f,0%,12/1/14
18464508,strict,t,t,25%,8/11/13
24266,strict,t,t,92%,6/7/15
10060797,strict,t,f,0%,4/17/16
18714825,moderate,t,t,88%,7/10/12
9545064,flexible,t,f,100%,3/22/13
9694633,moderate,t,t,0%,3/27/13
15937164,flexible,t,f,0%,1/18/17
13660425,strict,t,t,100%,5/29/12
18894648,strict,t,t,0%,5/17/13
10422846,flexible,t,t,80%,8/20/13
4638668,moderate,t,f,100%,8/18/15
13600935,strict,t,t,100%,3/19/14
6625283,strict,t,f,90%,8/3/10
212297,flexible,t,f,50%,3/3/17
4874722,strict,t,t,100%,4/30/14
18311288,strict,t,t,100%,6/8/15
15629616,flexible,null,null,0%,null
3792523,strict,t,t,100%,8/20/11
400478,flexible,t,t,0%,1/26/14
13083240,moderate,t,t,100%,4/21/11
4793938,flexible,t,t,90%,7/7/14
9015954,strict,t,f,0%,11/27/16
449660,strict,t,t,100%,8/1/15
1609676,flexible,t,t,100%,3/27/15
1109548,moderate,t,t,100%,5/8/16
5132940,strict,t,t,92%,11/4/11
454188,strict,t,t,100%,9/25/15
16415389,flexible,t,f,0%,8/9/16
20304639,flexible,t,t,0%,3/25/16
16918135,strict,t,t,100%,12/9/10
18841599,moderate,t,t,100%,11/28/12
10752160,flexible,t,t,90%,9/25/16
20676044,flexible,t,t,100%,1/15/13
18239740,strict,t,f,100%,3/3/17
6522149,strict,t,f,100%,5/9/17
4701058,flexible,t,t,100%,3/30/16
169306,flexible,t,t,100%,5/28/13
17665510,moderate,t,f,0%,9/25/14
15532430,strict,t,f,100%,12/5/12
19911540,strict,t,t,0%,12/5/15
19610807,strict,t,t,0%,10/25/12
20786037,strict,t,t,79%,3/11/13
1864757,strict,t,t,60%,12/8/12
4746764,strict,t,f,80%,9/24/14
17317366,strict,t,f,100%,7/19/16
17347989,flexible,t,f,0%,10/6/15
4896839,moderate,t,t,70%,7/28/10
19588629,moderate,t,t,0%,10/7/13
15215678,flexible,t,t,100%,9/12/16
7159258,moderate,t,t,100%,6/6/16
9328896,strict,t,f,100%,7/10/17
19870249,moderate,t,t,100%,7/29/11
5526245,flexible,t,f,29%,8/6/14
15548666,strict,t,t,100%,3/30/15
16703040,moderate,t,t,100%,6/1/11
4922204,flexible,t,t,100%,5/15/14
11786930,flexible,t,t,0%,6/11/15
1752714,strict,t,t,98%,1/6/16
13641058,flexible,t,t,100%,7/17/12
6414967,flexible,t,f,0%,5/3/16
7563764,moderate,t,f,79%,5/3/16
9872904,moderate,t,f,0%,1/9/17
16285014,strict,t,t,100%,6/10/14
11181138,flexible,t,t,0%,5/19/14
15424599,moderate,t,t,100%,1/20/16
15482378,strict,t,f,93%,8/27/14
7731797,strict,t,t,100%,6/10/14
13511137,flexible,t,f,93%,1/21/17
16443243,strict,t,f,100%,11/2/14
9391829,strict,t,t,100%,8/16/15
7369899,flexible,t,t,100%,7/2/12
7639730,moderate,t,t,100%,11/22/13
14139488,strict,t,t,90%,7/26/12
6783846,flexible,t,t,100%,5/2/15
14124243,flexible,t,f,0%,5/26/15
13881577,moderate,t,t,100%,2/10/17
20478876,flexible,t,t,0%,6/14/16
136493,moderate,t,t,100%,3/31/15
2658531,strict,t,f,100%,10/2/16
15969709,flexible,t,t,0%,4/7/12
16277087,strict,t,t,90%,6/17/13
3932801,moderate,t,t,96%,3/9/16
17042579,flexible,t,f,0%,4/4/16
6226236,strict,t,t,100%,11/5/15
9010890,flexible,t,f,0%,9/5/11
3667492,strict,t,t,0%,12/23/12
4828543,strict,t,t,100%,5/11/14
15028762,moderate,t,f,100%,10/29/15
6592661,strict,t,t,100%,1/10/13
6567853,flexible,t,f,100%,10/7/13
12984553,moderate,t,t,100%,3/18/13
15917906,moderate,t,t,0%,4/8/14
16783042,strict,t,t,100%,2/17/13
9614676,moderate,t,t,100%,4/6/16
6143706,strict,t,f,100%,3/18/16
16596185,strict,t,t,100%,2/25/15
11443001,strict,t,t,89%,8/23/16
45299,moderate,t,t,100%,11/7/12
15205467,moderate,t,t,0%,6/9/15
310524,strict,t,t,100%,7/16/14
11987274,strict,t,t,100%,4/21/16
4819087,strict,t,t,100%,6/24/14
4776065,strict,t,f,100%,3/14/16
9091805,strict,t,t,100%,11/24/13
15042195,strict,t,t,100%,5/22/16
12336008,super_strict_30,t,t,100%,4/12/13
13068133,strict,t,t,78%,3/22/11
11491676,flexible,t,t,100%,10/15/14
17367117,moderate,t,t,100%,3/13/13
7826548,strict,t,f,71%,9/27/12
10434883,moderate,t,t,90%,9/13/15
272637,moderate,t,f,75%,6/29/13
4256091,moderate,t,t,100%,9/18/13
8217454,strict,t,t,75%,9/6/12
16529936,moderate,t,t,100%,1/5/14
15657856,moderate,t,f,100%,5/5/17
2296136,strict,t,t,80%,7/24/12
13908582,moderate,t,t,100%,10/7/15
20075726,flexible,t,f,0%,8/14/16
19120385,strict,t,f,100%,5/7/12
19950255,flexible,t,t,100%,8/25/16
2092778,strict,t,t,100%,4/21/14
6485535,flexible,t,f,0%,10/11/15
9806843,flexible,t,t,0%,12/21/14
13789433,moderate,t,t,100%,5/24/16
3507112,strict,t,f,0%,8/27/14
16404289,moderate,t,f,100%,6/24/14
15207202,moderate,t,t,100%,3/5/17
14284377,moderate,t,t,100%,10/18/14
20788646,moderate,t,f,100%,2/10/16
10946978,strict,t,f,93%,8/2/17
13433732,flexible,t,f,0%,7/31/15
56200,flexible,t,f,0%,5/1/16
6797961,strict,t,t,100%,4/24/15
8405551,strict,t,t,100%,4/14/14
10068240,strict,t,t,75%,6/10/13
15323278,strict,t,t,100%,10/18/11
16436970,strict,t,t,100%,11/3/14
269463,strict,t,t,100%,9/14/13
5730126,moderate,t,t,90%,9/3/11
19122211,strict,t,t,100%,10/9/12
